date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:03:02	357/357	---MCZ	200	added ('OK')	text/plain	date:Mon,%2014%20Apr%202025%2017:39:06%20GMT	https://ourawakawakak.tumblr.com/robots.txt		(from )
14:03:02	71073/71073	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Dec%202025%2017:03:02%20GMT	https://ourawakawakak.tumblr.com/	C:/Mis%20lugares%20Web/ecomapas/ourawakawakak.tumblr.com/index.html	(from )
14:03:03	3134/3134	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268123fab-c3e%22	https://assets.tumblr.com/assets/scripts/pre_tumblelog.js?_v=b9f848c06fcba7eaf305d4a7cb7a1b98	C:/Mis%20lugares%20Web/ecomapas/assets.tumblr.com/assets/scripts/pre_tumblelogd70f.js	(from https://ourawakawakak.tumblr.com/)
14:03:03	95931/95931	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	C:/Mis%20lugares%20Web/ecomapas/ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	(from https://ourawakawakak.tumblr.com/)
14:03:03	9307/9307	---MCZ	200	added ('OK')	text/css	etag:W/%22681a67fe-245b%22	https://assets.tumblr.com/client/prod/standalone/blog-network-npf/index.build.css?_v=f085dde138e244526309d4673db67b4c	C:/Mis%20lugares%20Web/ecomapas/assets.tumblr.com/client/prod/standalone/blog-network-npf/index.buildf3ca.css	(from https://ourawakawakak.tumblr.com/)
14:03:04	24590/24590	---MCZ	200	added ('OK')	text/css	etag:W/%22ed2206faa992c99f718a813ad78b507c%22	https://static.tumblr.com/n3p2fdg/23bnlazd2/icons.css	C:/Mis%20lugares%20Web/ecomapas/static.tumblr.com/n3p2fdg/23bnlazd2/icons.css	(from https://ourawakawakak.tumblr.com/)
14:03:06	2996/2996	---M--	200	added ('OK')	image/png	etag:%225b67fcd5f126264d6d3fb6f91b434214%22	https://static.tumblr.com/ztelplt/tJnn9flbw/search.png	C:/Mis%20lugares%20Web/ecomapas/static.tumblr.com/ztelplt/tJnn9flbw/search.png	(from https://ourawakawakak.tumblr.com/)
14:03:07	73153/73153	---M--	200	added ('OK')	image/jpeg	etag:%22c268edb2d0824b96111a443b6ce2dd8a%22	https://static.tumblr.com/092fdbdcbfe84d215bc8d8c5e084784a/0mvwcmi/POKpvblwd/tumblr_static_e8anonvybj4k800gw4gswogoo.jpg	C:/Mis%20lugares%20Web/ecomapas/static.tumblr.com/092fdbdcbfe84d215bc8d8c5e084784a/0mvwcmi/POKpvblwd/tumblr_static_e8anonvybj4k800gw4gswogoo.jpg	(from https://ourawakawakak.tumblr.com/)
14:03:08	9427/9427	---M--	200	added ('OK')	image/gif	etag:%228732a6660b528fadfaeb35bcf568875f%22	https://static.tumblr.com/ztelplt/sHKn9fqqu/loading.gif	C:/Mis%20lugares%20Web/ecomapas/static.tumblr.com/ztelplt/sHKn9fqqu/loading.gif	(from https://ourawakawakak.tumblr.com/)
14:03:09	13233/13233	---MCZ	200	added ('OK')	text/xml	date:Thu,%2011%20Dec%202025%2017:03:09%20GMT	https://ourawakawakak.tumblr.com/rss	C:/Mis%20lugares%20Web/ecomapas/ourawakawakak.tumblr.com/rss	(from https://ourawakawakak.tumblr.com/)
14:03:10	4306/4306	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2267166be3-10d2%22	https://ourawakawakak.tumblr.com/android-app://com.tumblr/tumblr/x-callback-url/blog?blogName=ourawakawakak	C:/Mis%20lugares%20Web/ecomapas/ourawakawakak.tumblr.com/android-app_/com.tumblr/tumblr/x-callback-url/blog.8aab9.delayed	(from https://ourawakawakak.tumblr.com/)
